Project,TransectName,PointName,Visit,Date,year,StartTime,CommonName,BirdCd,ScientificName,BirdCount,IndivId,DuplicateIndiv,DataStatus
INDIANAMARSHBIRDS,DUPO,DUPO-01,2,5/27/24,2024,5:07:00,Virginia Rail,VIRA,Rallus limicola,1,58,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,1,5/6/24,2024,5:18:00,Virginia Rail,VIRA,Rallus limicola,1,59,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,1,5/11/21,2021,5:04:00,Virginia Rail,VIRA,Rallus limicola,1,60,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,1,5/10/18,2018,5:08:00,Virginia Rail,VIRA,Rallus limicola,1,61,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,3,6/7/19,2019,5:05:00,Virginia Rail,VIRA,Rallus limicola,1,62,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,2,5/27/19,2019,5:01:00,Virginia Rail,VIRA,Rallus limicola,1,63,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,1,5/10/19,2019,5:05:00,Virginia Rail,VIRA,Rallus limicola,1,64,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,1,5/7/20,2020,5:08:00,Virginia Rail,VIRA,Rallus limicola,1,65,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,2,5/27/19,2019,5:01:00,Virginia Rail,VIRA,Rallus limicola,1,66,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/1/22,2022,5:45:00,American Bittern,AMBI,Botaurus lentiginosus,1,67,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/19,2019,5:32:00,American Bittern,AMBI,Botaurus lentiginosus,1,68,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/23/20,2020,5:19:00,American Bittern,AMBI,Botaurus lentiginosus,1,69,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/19/22,2022,5:21:00,American Bittern,AMBI,Botaurus lentiginosus,1,70,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/19,2019,5:32:00,American Bittern,AMBI,Botaurus lentiginosus,1,71,1,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/12/20,2020,5:05:00,American Coot,AMCO,Fulica americana,1,72,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/23/20,2020,5:19:00,American Coot,AMCO,Fulica americana,2,73,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/24/18,2018,6:18:00,American Coot,AMCO,Fulica americana,1,74,1,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/7/20,2020,5:48:00,American Coot,AMCO,Fulica americana,6,75,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/7/19,2019,5:41:00,American Coot,AMCO,Fulica americana,2,76,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/6/24,2024,5:38:00,American Coot,AMCO,Fulica americana,1,77,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/27/24,2024,5:25:00,American Coot,AMCO,Fulica americana,1,78,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/6/24,2024,5:38:00,American Coot,AMCO,Fulica americana,1,79,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/6/24,2024,5:38:00,American Coot,AMCO,Fulica americana,1,80,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/27/19,2019,5:23:00,American Coot,AMCO,Fulica americana,1,81,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/7/18,2018,6:22:00,American Coot,AMCO,Fulica americana,1,82,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/19,2019,5:32:00,American Coot,AMCO,Fulica americana,1,83,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/9/24,2024,5:30:00,American Coot,AMCO,Fulica americana,1,84,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/18,2018,5:28:00,American Coot,AMCO,Fulica americana,1,85,1,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/18,2018,5:28:00,American Coot,AMCO,Fulica americana,2,86,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/27/24,2024,5:25:00,American Coot,AMCO,Fulica americana,1,87,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/7/20,2020,5:48:00,American Coot,AMCO,Fulica americana,2,88,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/1/22,2022,5:45:00,Common Gallinule,COGA,Gallinula galeata,1,89,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/23/20,2020,5:19:00,Common Gallinule,COGA,Gallinula galeata,1,90,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/23,2023,5:35:00,Common Gallinule,COGA,Gallinula galeata,1,91,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/12/20,2020,5:05:00,Common Gallinule,COGA,Gallinula galeata,1,92,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/11/22,2022,5:05:00,Common Gallinule,COGA,Gallinula galeata,1,93,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/23,2023,5:35:00,Common Gallinule,COGA,Gallinula galeata,1,94,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/23/20,2020,5:19:00,Common Gallinule,COGA,Gallinula galeata,1,95,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/27/21,2021,5:14:00,Common Gallinule,COGA,Gallinula galeata,1,96,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/7/18,2018,6:22:00,King Rail,KIRA,Rallus elegans,1,97,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/11/22,2022,5:05:00,Least Bittern,LEBI,Ixobrychus exilis,1,98,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/24/18,2018,6:18:00,Least Bittern,LEBI,Ixobrychus exilis,1,99,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/7/19,2019,5:41:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,100,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/27/24,2024,5:25:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,101,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/19,2019,5:32:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,102,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/19,2019,5:32:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,103,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/27/19,2019,5:23:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,104,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/19,2019,5:32:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,105,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/12/20,2020,5:05:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,106,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/12/20,2020,5:05:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,107,1,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/6/24,2024,5:38:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,108,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/7/20,2020,5:48:00,Sora,SORA,Porzana carolina,1,109,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/27/19,2019,5:23:00,Sora,SORA,Porzana carolina,1,110,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/19,2019,5:32:00,Sora,SORA,Porzana carolina,1,111,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/7/20,2020,5:48:00,Sora,SORA,Porzana carolina,1,112,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/19,2019,5:32:00,Sora,SORA,Porzana carolina,1,113,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/23,2023,5:35:00,Sora,SORA,Porzana carolina,1,114,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/6/24,2024,5:38:00,Sora,SORA,Porzana carolina,1,115,1,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/19,2019,5:32:00,Sora,SORA,Porzana carolina,1,116,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/11/22,2022,5:05:00,Sora,SORA,Porzana carolina,1,117,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/6/24,2024,5:38:00,Sora,SORA,Porzana carolina,1,118,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/6/24,2024,5:38:00,Sora,SORA,Porzana carolina,1,119,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/7/19,2019,5:41:00,Sora,SORA,Porzana carolina,1,120,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/23/20,2020,5:19:00,Sora,SORA,Porzana carolina,1,121,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/1/22,2022,5:45:00,Sora,SORA,Porzana carolina,1,122,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/19/22,2022,5:21:00,Sora,SORA,Porzana carolina,1,123,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/9/24,2024,5:30:00,Sora,SORA,Porzana carolina,1,124,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/19/22,2022,5:21:00,Sora,SORA,Porzana carolina,1,125,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/7/19,2019,5:41:00,Sora,SORA,Porzana carolina,1,126,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/18,2018,5:28:00,Sora,SORA,Porzana carolina,1,127,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/11/21,2021,5:24:00,Sora,SORA,Porzana carolina,1,128,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/12/20,2020,5:05:00,Sora,SORA,Porzana carolina,1,129,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/6/24,2024,5:38:00,Sora,SORA,Porzana carolina,1,130,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/23,2023,5:35:00,Sora,SORA,Porzana carolina,1,131,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/23,2023,5:35:00,Sora,SORA,Porzana carolina,1,132,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/23/20,2020,5:19:00,Sora,SORA,Porzana carolina,1,133,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/7/20,2020,5:48:00,Sora,SORA,Porzana carolina,1,134,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/19,2019,5:32:00,Sora,SORA,Porzana carolina,1,135,1,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/27/19,2019,5:23:00,Sora,SORA,Porzana carolina,1,136,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/1/22,2022,5:45:00,Sora,SORA,Porzana carolina,1,137,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/23/20,2020,5:19:00,Sora,SORA,Porzana carolina,1,138,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,2,5/27/24,2024,5:25:00,Sora,SORA,Porzana carolina,1,139,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/23,2023,5:35:00,Sora,SORA,Porzana carolina,1,140,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/19,2019,5:32:00,Sora,SORA,Porzana carolina,1,141,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,3,6/7/19,2019,5:41:00,Sora,SORA,Porzana carolina,1,142,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-02,1,5/10/23,2023,5:35:00,Sora,SORA,Porzana carolina,1,143,,CLEAN
